versiculo,localizacao
"Quem crê no Filho tem a vida eterna; já quem rejeita o Filho não verá a vida, mas a ira de Deus permanece sobre ele"".",João 3:36
"Venham a mim, todos os que estão cansados e sobrecarregados, e eu darei descanso a vocês. Tomem sobre vocês o meu jugo e aprendam de mim, pois sou manso e humilde de coração, e vocês encontrarão descanso para as suas almas.",Mateus 11:28-29
"O Espírito do Soberano, o Senhor, está sobre mim, porque o Senhor ungiu-me para levar boas notícias aos pobres. Enviou-me para cuidar dos que estão com o coração quebrantado, anunciar liberdade aos cativos e libertação das trevas aos prisioneiros, ",Isaías 61:1
"O próprio Senhor irá à sua frente e estará com você; ele nunca o deixará, nunca o abandonará. Não tenha medo! Não desanime!""",Deuteronômio 31:8
"Bendito seja o Deus e Pai de nosso Senhor Jesus Cristo, Pai das misericórdias e Deus de toda consolação, que nos consola em todas as nossas tribulações, para que, com a consolação que recebemos de Deus, possamos consolar os que estão passando por tribulações.",2 Coríntios 1:3-4
"Pois assim como os sofrimentos de Cristo transbordam sobre nós, também por meio de Cristo transborda a nossa consolação. Se somos atribulados, é para consolação e salvação de vocês; se somos consolados, é para consolação de vocês, a qual dá paciência para suportarem os mesmos sofrimentos que nós estamos padecendo.",2 Coríntios 1:5-6
"Pois a sua ira só dura um instante, mas o seu favor dura a vida toda; o choro pode persistir uma noite, mas de manhã irrompe a alegria.",Salmos 30:5
"Deixo a paz a vocês; a minha paz dou a vocês. Não a dou como o mundo a dá. Não se perturbe o seu coração, nem tenham medo.",João 14:27
"Entregue suas preocupações ao Senhor, e ele o susterá; jamais permitirá que o justo venha a cair.",Salmos 55:22
O Senhor está perto dos que têm o coração quebrantado e salva os de espírito abatido.,Salmos 34:18
"Eu disse essas coisas para que em mim vocês tenham paz. Neste mundo vocês terão aflições; contudo, tenham ânimo! Eu venci o mundo"".",João 16:33
"E eu pedirei ao Pai, e ele dará a vocês outro Conselheiro para estar com vocês para sempre, o Espírito da verdade. O mundo não pode recebê-lo, porque não o vê nem o conhece. Mas vocês o conhecem, pois ele vive com vocês e estará em vocês. Não os deixarei órfãos; voltarei para vocês.",João 14:16-18
"Mesmo quando eu andar por um vale de trevas e morte, não temerei perigo algum, pois tu estás comigo; a tua vara e o teu cajado me protegem.",Salmos 23:4
"O Senhor é refúgio para os oprimidos, uma torre segura na hora da adversidade.",Salmos 9:9
"E a paz de Deus, que excede todo o entendimento, guardará o coração e a mente de vocês em Cristo Jesus.",Filipenses 4:7
"O Senhor, o seu Deus, está em seu meio, poderoso para salvar. Ele se regozijará em você; com o seu amor a renovará, ele se regozijará em você com brados de alegria"".",Sofonias 3:17
"Por isso não tema, pois estou com você; não tenha medo, pois sou o seu Deus. Eu o fortalecerei e o ajudarei; eu o segurarei com a minha mão direita vitoriosa.",Isaías 41:10
"Que o Deus da esperança os encha de toda alegria e paz, por sua confiança nele, para que vocês transbordem de esperança, pelo poder do Espírito Santo.",Romanos 15:13
"Uma coisa pedi ao Senhor e a procuro: que eu possa viver na casa do Senhor todos os dias da minha vida, para contemplar a bondade do Senhor e buscar sua orientação no seu templo. Pois no dia da adversidade ele me guardará protegido em sua habitação; no seu tabernáculo me esconderá e me porá em segurança sobre um rochedo.",Salmos 27:4-5
"Deus é o nosso refúgio e a nossa fortaleza, auxílio sempre presente na adversidade.",Salmos 46:1
"Portanto, humilhem-se debaixo da poderosa mão de Deus, para que ele os exalte no tempo devido. Lancem sobre ele toda a sua ansiedade, porque ele tem cuidado de vocês.",1 Pedro 5:6-7
"Pois não menosprezou nem repudiou o sofrimento do aflito; não escondeu dele o rosto, mas ouviu o seu grito de socorro.",Salmos 22:24
"Registra, tu mesmo, o meu lamento; recolhe as minhas lágrimas em teu odre; acaso não estão anotadas em teu livro?",Salmos 56:8
"Porque sou eu que conheço os planos que tenho para vocês', diz o Senhor, 'planos de fazê-los prosperar e não de causar dano, planos de dar a vocês esperança e um futuro.",Jeremias 29:11
"O Senhor é bom, um refúgio em tempos de angústia. Ele protege os que nele confiam,",Naum 1:7
"Assim acontece com vocês: agora é hora de tristeza para vocês, mas eu os verei outra vez, e vocês se alegrarão, e ninguém tirará essa alegria de vocês.",João 16:22
"Portanto, se alguém está em Cristo, é nova criação. As coisas antigas já passaram; eis que surgiram coisas novas!",2 Coríntios 5:17
"Aquele que estava assentado no trono disse: ""Estou fazendo novas todas as coisas!"" E acrescentou: ""Escreva isto, pois estas palavras são verdadeiras e dignas de confiança"".",Apocalipse 21:5
"Assim como uma mãe consola seu filho, também eu os consolarei; em Jerusalém vocês serão consolados"".",Isaías 66:13
"O Senhor é a minha rocha, a minha fortaleza e o meu libertador; o meu Deus é o meu rochedo, em quem me refugio. Ele é o meu escudo e o poder que me salva, a minha torre alta.",Salmos 18:2
"Senhor, tem misericórdia de nós; pois em ti esperamos! Sê tu a nossa força cada manhã, nossa salvação na hora do perigo.",Isaías 33:2
"Satisfaze-nos pela manhã com o teu amor leal, e todos os nossos dias cantaremos felizes.",Salmos 90:14
"Quanto a mim, feita a justiça, verei a tua face; quando despertar, ficarei satisfeito ao ver a tua semelhança.",Salmos 17:15
"Graças ao grande amor do Senhor é que não somos consumidos, pois as suas misericórdias são inesgotáveis. Renovam-se cada manhã; grande é a sua fidelidade! Digo a mim mesmo: A minha porção é o Senhor; portanto, nele porei a minha esperança.",Lamentações 3:22-24
"Deus viu que a luz era boa, e separou a luz das trevas. Deus chamou à luz dia, e às trevas chamou noite. Passaram-se a tarde e a manhã; esse foi o primeiro dia.",Gênesis 1:4-5
"Acorde, minha alma! Acordem, harpa e lira! Vou despertar a alvorada!",Salmos 57:8
"Como é bom render graças ao Senhor e cantar louvores ao teu nome, ó Altíssimo; anunciar de manhã o teu amor leal e de noite a tua fidelidade,",Salmos 92:1-2
"Faze-me ouvir do teu amor leal pela manhã, pois em ti confio. Mostra-me o caminho que devo seguir, pois a ti elevo a minha alma.",Salmos 143:8
"De manhã ouves, Senhor, o meu clamor; de manhã te apresento a minha oração e aguardo com esperança.",Salmos 5:3
"Plante de manhã a sua semente, e mesmo ao entardecer não deixe as suas mãos ficarem à toa, pois você não sabe o que acontecerá, se esta ou aquela produzirá, ou se as duas serão igualmente boas.",Eclesiastes 11:6
"Mas eu cantarei louvores à tua força; de manhã louvarei a tua fidelidade, pois tu és o meu alto refúgio, abrigo seguro nos tempos difíceis.",Salmos 59:16
"Pois a sua ira só dura um instante, mas o seu favor dura a vida toda; o choro pode persistir uma noite, mas de manhã irrompe a alegria.",Salmos 30:5
"O Soberano, o Senhor, deu-me uma língua instruída, para conhecer a palavra que sustém o exausto. Ele me acorda manhã após manhã, desperta meu ouvido para escutar como alguém que está sendo ensinado.",Isaías 50:4
"Mas eu, Senhor, a ti clamo por socorro; já de manhã a minha oração chega à tua presença.",Salmos 88:13
"Não ame o sono, senão você acabará ficando pobre; fique desperto, e terá alimento de sobra.",Provérbios 20:13
"Ele morreu por nós para que, quer estejamos acordados quer dormindo, vivamos unidos a ele.",1 Tessalonicenses 5:10
"Antes de clarear o dia ela se levanta, prepara comida para todos os de casa e dá tarefas às suas servas.",Provérbios 31:15
Tremem os habitantes das terras distantes diante das tuas maravilhas; do nascente ao poente despertas canções de alegria.,Salmos 65:8
"Assim, temos ainda mais firme a palavra dos profetas, e vocês farão bem se a ela prestarem atenção, como a uma candeia que brilha em lugar escuro, até que o dia clareie e a estrela da alva nasça no coração de vocês.",2 Pedro 1:19
"Com a costela que havia tirado do homem, o Senhor Deus fez uma mulher e a levou até ele. Disse então o homem: ""Esta, sim, é osso dos meus ossos e carne da minha carne! Ela será chamada mulher, porque do homem foi tirada"". Por essa razão, o homem deixará pai e mãe e se unirá à sua mulher, e eles se tornarão uma só carne.",Gênesis 2:22-24
"Assim, eles já não são dois, mas sim uma só carne. Portanto, o que Deus uniu, ninguém separe"".",Mateus 19:6
"O amor é paciente, o amor é bondoso. Não inveja, não se vangloria, não se orgulha. Não maltrata, não procura seus interesses, não se ira facilmente, não guarda rancor. O amor não se alegra com a injustiça, mas se alegra com a verdade. Tudo sofre, tudo crê, tudo espera, tudo suporta.",1 Coríntios 13:4-7
"Da mesma forma, os maridos devem amar cada um a sua mulher como a seu próprio corpo. Quem ama sua mulher, ama a si mesmo. Além do mais, ninguém jamais odiou o seu próprio corpo, antes o alimenta e dele cuida, como também Cristo faz com a igreja,",Efésios 5:28-29
"Portanto, cada um de vocês também ame a sua mulher como a você mesmo, e a mulher trate o marido com todo o respeito.",Efésios 5:33
"Acima de tudo, porém, revistam-se do amor, que é o elo perfeito.",Colossenses 3:14
Quem encontra uma esposa encontra algo excelente; recebeu uma bênção do Senhor.,Provérbios 18:22
"É melhor ter companhia do que estar sozinho, porque maior é a recompensa do trabalho de duas pessoas. Se um cair, o amigo pode ajudá-lo a levantar-se. Mas pobre do homem que cai e não tem quem o ajude a levantar-se! E, se dois dormirem juntos, vão manter-se aquecidos. Como, porém, manter-se aquecido sozinho? Um homem sozinho pode ser vencido, mas dois conseguem defender-se. Um cordão de três dobras não se rompe com facilidade.",Eclesiastes 4:9-12
"Se um homem tiver se casado recentemente, não será enviado à guerra, nem assumirá nenhum compromisso público. Durante um ano estará livre para ficar em casa e fazer feliz a mulher com quem se casou.",Deuteronômio 24:5
"Ah, se ele me beijasse, se a sua boca me cobrisse de beijos... Sim, as suas carícias são mais agradáveis que o vinho. A fragrância dos seus perfumes é suave; o seu nome é como perfume derramado. Não é à toa que as jovens o amam!",Cânticos 1:2-3
"Como você é linda, minha querida! Ah, como é linda! Seus olhos são pombas. Como você é belo, meu amado! Ah, como é encantador! Verdejante é o nosso leito.",Cânticos 1:15-16
"Seja bendita a sua fonte! Alegre-se com a esposa da sua juventude. Gazela amorosa, corça graciosa; que os seios de sua esposa sempre o fartem de prazer, e sempre o embriaguem os carinhos dela. Por que, meu filho, ser desencaminhado pela mulher imoral? Por que abraçar o seio de uma leviana?",Provérbios 5:18-20
"Não foi o Senhor que os fez um só? Em corpo e em espírito eles lhe pertencem. E por que um só? Porque ele desejava uma descendência consagrada. Portanto, tenham cuidado: Ninguém seja infiel à mulher da sua mocidade.",Malaquias 2:15
"Você fez disparar o meu coração, minha irmã, minha noiva; fez disparar o meu coração com um simples olhar, com uma simples joia dos seus colares.",Cânticos 4:9
"Ponha-me como um selo sobre o seu coração; como um selo sobre o seu braço; pois o amor é tão forte quanto a morte e o ciúme é tão inflexível quanto a sepultura. Suas brasas são fogo ardente, são labaredas do Senhor. Nem muitas águas conseguem apagar o amor; os rios não conseguem levá-lo na correnteza. Se alguém oferecesse todas as riquezas da sua casa para adquirir o amor, seria totalmente desprezado.",Cânticos 8:6-7
O amigo ama em todos os momentos; é um irmão na adversidade.,Provérbios 17:17
"Aquele que anda com os sábios será cada vez mais sábio, mas o companheiro dos tolos acabará mal.",Provérbios 13:20
"Melhor é a repreensão feita abertamente do que o amor oculto. Quem fere por amor mostra lealdade, mas o inimigo multiplica beijos.",Provérbios 27:5-6
"Já não os chamo servos, porque o servo não sabe o que o seu senhor faz. Em vez disso, eu os tenho chamado amigos, porque tudo o que ouvi de meu Pai eu tornei conhecido a vocês.",João 15:15
Perfume e incenso trazem alegria ao coração; do conselho sincero do homem nasce uma bela amizade. Não abandone o seu amigo nem o amigo de seu pai; quando for atingido pela adversidade não vá para a casa de seu irmão; melhor é o vizinho próximo do que o irmão distante.,Provérbios 27:9-10
"Quem tem muitos amigos pode chegar à ruína, mas existe amigo mais apegado que um irmão.",Provérbios 18:24
"É melhor ter companhia do que estar sozinho, porque maior é a recompensa do trabalho de duas pessoas. Se um cair, o amigo pode ajudá-lo a levantar-se. Mas pobre do homem que cai e não tem quem o ajude a levantar-se!",Eclesiastes 4:9-10
"Não se deixem enganar: ""As más companhias corrompem os bons costumes"".",1 Coríntios 15:33
Dediquem-se uns aos outros com amor fraternal. Prefiram dar honra aos outros mais do que a vocês.,Romanos 12:10
"Depois dessa conversa de Davi com Saul, surgiu tão grande amizade entre Jônatas e Davi que Jônatas tornou-se o seu melhor amigo. Daquele dia em diante, Saul manteve Davi consigo e não o deixou voltar à casa de seu pai. E Jônatas fez um acordo de amizade com Davi, pois se tornara o seu melhor amigo.",1 Samuel 18:1-3
"Não se associe com quem vive de mau humor, nem ande em companhia de quem facilmente se ira; do contrário você acabará imitando essa conduta e cairá em armadilha mortal.",Provérbios 22:24-25
"Rute, porém, respondeu: ""Não insistas comigo que te deixe e que não mais te acompanhe. Aonde fores irei, onde ficares ficarei! O teu povo será o meu povo e o teu Deus será o meu Deus!",Rute 1:16
"Assim, eles já não são dois, mas sim uma só carne. Portanto, o que Deus uniu, ninguém separe"".",Mateus 19:6
"Por essa razão, o homem deixará pai e mãe e se unirá à sua mulher, e eles se tornarão uma só carne. O homem e sua mulher viviam nus, e não sentiam vergonha.",Gênesis 2:24-25
"O amor é paciente, o amor é bondoso. Não inveja, não se vangloria, não se orgulha. Não maltrata, não procura seus interesses, não se ira facilmente, não guarda rancor. O amor não se alegra com a injustiça, mas se alegra com a verdade. Tudo sofre, tudo crê, tudo espera, tudo suporta.",1 Coríntios 13:4-7
"Deus os abençoou e lhes disse: ""Sejam férteis e multipliquem-se! Encham e subjuguem a terra! Dominem sobre os peixes do mar, sobre as aves do céu e sobre todos os animais que se movem pela terra"".",Gênesis 1:28
Quem encontra uma esposa encontra algo excelente; recebeu uma bênção do Senhor.,Provérbios 18:22
"O casamento deve ser honrado por todos; o leito conjugal, conservado puro; pois Deus julgará os imorais e os adúlteros.",Hebreus 13:4
"Não foi o Senhor que os fez um só? Em corpo e em espírito eles lhe pertencem. E por que um só? Porque ele desejava uma descendência consagrada. Portanto, tenham cuidado: Ninguém seja infiel à mulher da sua mocidade. ""Eu odeio o divórcio"", diz o Senhor, o Deus de Israel, ""e também odeio homem que se cobre de violência como se cobre de roupas"", diz o Senhor dos Exércitos. Por isso, tenham bom senso; não sejam infiéis.",Malaquias 2:15-16
"Acima de tudo, porém, revistam-se do amor, que é o elo perfeito. Que a paz de Cristo seja o juiz em seu coração, visto que vocês foram chamados para viver em paz, como membros de um só corpo. E sejam agradecidos.",Colossenses 3:14-15
"Tenham cuidado para que ninguém retribua o mal com o mal, mas sejam sempre bondosos uns para com os outros e para com todos.",1 Tessalonicenses 5:15
Não se ponham em jugo desigual com descrentes. Pois o que têm em comum a justiça e a maldade? Ou que comunhão pode ter a luz com as trevas?,2 Coríntios 6:14
"A mulher exemplar é a coroa do seu marido, mas a de comportamento vergonhoso é como câncer em seus ossos.",Provérbios 12:4
"Mulheres, sujeite-se cada uma a seu marido, como ao Senhor, pois o marido é o cabeça da mulher, como também Cristo é o cabeça da igreja, que é o seu corpo, do qual ele é o Salvador. Assim como a igreja está sujeita a Cristo, também as mulheres estejam em tudo sujeitas a seus maridos.",Efésios 5:22-24
"Maridos, ame cada um a sua mulher, assim como Cristo amou a igreja e entregou-se por ela; Da mesma forma, os maridos devem amar cada um a sua mulher como a seu próprio corpo. Quem ama sua mulher, ama a si mesmo.",Efésios 5:25;28
"Portanto, cada um de vocês também ame a sua mulher como a você mesmo, e a mulher trate o marido com todo o respeito.",Efésios 5:33
"O marido deve cumprir os seus deveres conjugais para com a sua mulher, e da mesma forma a mulher para com o seu marido. A mulher não tem autoridade sobre o seu próprio corpo, mas sim o marido. Da mesma forma, o marido não tem autoridade sobre o seu próprio corpo, mas sim a mulher.",1 Coríntios 7:3-4
"É melhor ter companhia do que estar sozinho, porque maior é a recompensa do trabalho de duas pessoas. Se um cair, o amigo pode ajudá-lo a levantar-se. Mas pobre do homem que cai e não tem quem o ajude a levantar-se!",Eclesiastes 4:9-10
"Ponha-me como um selo sobre o seu coração; como um selo sobre o seu braço; pois o amor é tão forte quanto a morte e o ciúme é tão inflexível quanto a sepultura. Suas brasas são fogo ardente, são labaredas do Senhor.",Cânticos 8:6
"Não fui eu que ordenei a você? Seja forte e corajoso! Não se apavore nem desanime, pois o Senhor, o seu Deus, estará com você por onde você andar"".",Josué 1:9
"Por isso não tema, pois estou com você; não tenha medo, pois sou o seu Deus. Eu o fortalecerei e o ajudarei; eu o segurarei com a minha mão direita vitoriosa.",Isaías 41:10
"ensinando-os a obedecer a tudo o que eu ordenei a vocês. E eu estarei sempre com vocês, até o fim dos tempos"".",Mateus 28:20
"Conservem-se livres do amor ao dinheiro e contentem-se com o que vocês têm, porque Deus mesmo disse: ""Nunca o deixarei, nunca o abandonarei"".",Hebreus 13:5
"Sejam fortes e corajosos. Não tenham medo nem fiquem apavorados por causa delas, pois o Senhor, o seu Deus, vai com vocês; nunca os deixará, nunca os abandonará"".",Deuteronômio 31:6
